time,Negative Control,Negative Control,Negative Control,0 nM,0 nM,0 nM,15 nM,15 nM,15 nM,10 nM,10 nM,10 nM,5 nM,5 nM,5 nM
4 h 20 min,21259,21027,21733,134580.5,134322.5,133795,77602,78461.5,77091,79925.5,83518.5,78561.5,103282,112671,106753.5
4 h 22 min,21441,20947,21708,135991.5,134796.5,134708.5,78624,79392,77594,81195.5,84125,79119,104199,114006.5,107739
4 h 24 min,21393,20869,21758,136723.5,136388,135914,79062.5,80096,78046.5,81431.5,85028.5,80051.5,105130,114693.5,108432
4 h 26 min,21637,20728,22189,138070,137407.5,137070.5,79951.5,80578.5,78777,82172,85601.5,80825.5,106371,115534.5,109166.5
4 h 28 min,21568,21120,22293,138911.5,138152,138056.5,80465.5,81183,79358,82880.5,86477,80968,106575.5,116766,109812.5
4 h 30 min,21555,20837,21829,140278,139419.5,138615,81205,82043,79736,83491.5,87241,82410.5,107951.5,118064,110969.5
4 h 32 min,21919,21297,22360,141330,140206.5,139540.5,81503.5,82954.5,80640.5,84007.5,88227,82730,109122.5,118868,111814
4 h 34 min,21537,21188,22439,143134,141466.5,140972.5,82645,83431,81137.5,84493,88975.5,83514,109962.5,120150,112855
4 h 36 min,21630,21248,22401,143705.5,142795,141614.5,82907,84043,81835,86194.5,89440.5,83968.5,110908.5,121228.5,113557.5
4 h 38 min,21740,21394,22603,144319.5,143603,142569.5,83538.5,84683,82747,86312,90012,85200.5,112128,122340.5,114549
4 h 40 min,21904,21276,22841,145999.5,144807.5,143412,84648.5,85257.5,83345,86909.5,90971.5,85616,112399,123177.5,115487.5
4 h 42 min,21970,21879,22624,146648,145868,144871.5,85132,86045,83950.5,87505.5,91629,86474,114363,124555,116654
4 h 44 min,21968,21773,22983,147489,146952.5,145764,85594.5,86832,84745.5,88354.5,92806.5,87184,114797,125095,117498
4 h 46 min,21829,21509,22690,149000.5,148034.5,146100,86102,87211,85304,88985,93271.5,87883.5,115876,126564,117938
4 h 48 min,21882,21656,22686,150025.5,148922,147135,86925.5,87993,85969,89821,93547,88846,116688.5,127033.5,119114
4 h 50 min,22084,21888,23001,150919,149676,148126,87588,88682,86719.5,90231,94929,89044,117891,128608.5,119897
4 h 52 min,21921,21767,22711,152584.5,151493,149047.5,88096.5,89265.5,87487.5,90811.5,95497.5,89721,118274,129124,120984.5
4 h 54 min,22116,21428,22901,153230,152254,149788,89044.5,89822,87704.5,91892,96063,90473,119578,130734.5,121707
4 h 56 min,22321,21675,22877,153919.5,153210.5,150399,89437.5,90820,88232,92432.5,96584,91199,120958,131283.5,122838.5
4 h 58 min,22097,21688,23059,154576.5,154444.5,151941,90180.5,91238,89171,93016,97826.5,92004,121431.5,132817.5,123773.5
5,22308,21661,23018,156198,154772.5,152291.5,90816.5,91641.5,89692.5,93912,98290,92368.5,122331,134095.5,124406.5
5 h 2 min,22272,22220,23159,156555.5,156602.5,152918.5,91520.5,91991,90160.5,94722,99455,92947.5,123692.5,135026.5,125324
5 h 4 min,22303,21851,23297,157936,157644.5,154401.5,91886,92889.5,90902.5,95275.5,99548,93609,123914.5,136628,126160
5 h 6 min,22183,21810,22882,159156,158167.5,154843.5,92587.5,93347.5,91620.5,95835.5,100787.5,94254.5,124576.5,136856,127281.5
5 h 8 min,22307,22223,23104,159437.5,159289.5,156358,92942,93704,92246,96597,101501,94941.5,125792,138531.5,128380
5 h 10 min,22245,22293,23370,161080,160605.5,156609,93626,94635.5,92747.5,97424,102252.5,95616.5,126472,139550.5,129110.5
5 h 12 min,22167,22201,23457,161939.5,161571,156874,94414,95392,93709.5,97905,102549,96947.5,127959.5,140462.5,130192.5
5 h 14 min,22616,22288,23139,163288.5,162853,158069,95093,96182,94095,98091,103359.5,96927,128532.5,141878,130784.5
5 h 16 min,22621,22155,23299,164125.5,163768,158667,95517.5,96820,94648,99210,103644.5,98027,129579.5,142690,131446.5
5 h 18 min,22525,22303,23118,165061,164548,159526.5,95990,97507,95412,100048,104960,98593.5,130642.5,143738,132420
5 h 20 min,22607,22432,23283,166054,165830.5,159993,96913,98024,95897.5,100376,105944,99141,131780.5,145453.5,133211.5
5 h 22 min,22711,22410,23431,166771,166506.5,161023.5,97385,98153.5,96158.5,101357.5,106274,99558,132414,146155.5,135069.5
5 h 24 min,22777,22555,23375,168237.5,167509.5,162316,97483.5,99014.5,96744.5,102020,107230.5,100533.5,133273.5,146764.5,135587.5
5 h 26 min,22551,22471,23290,169158.5,168382,162301.5,98373.5,99516.5,97508,102940.5,107759,101207.5,134282.5,148567,136391
5 h 28 min,22772,22527,23346,170185.5,169953,163845,99556.5,99659,97927,103496,108297.5,101581,135083.5,149208.5,137366.5
5 h 30 min,22761,22395,23619,170617.5,170458.5,164291.5,99597,101178,98730,104189,109290.5,102362.5,136182.5,150695.5,137946.5
5 h 32 min,22807,22677,23256,172435.5,172403,164724.5,100616,100980.5,99603.5,104894.5,109788.5,103152.5,137262,151724,138793.5
5 h 34 min,22595,22562,23482,172908.5,172091.5,165268,100283.5,102102.5,99845,105462.5,110597,103168.5,137961,152359.5,140020
5 h 36 min,22770,22446,23404,173942.5,173208,165928,101570.5,102563,100697,106217.5,111173.5,104362.5,138589.5,153539.5,140701
5 h 38 min,22461,22671,23438,174450.5,174331.5,166568.5,101729,102958.5,101041,106725,112499.5,105202.5,139545.5,154849,141915.5
5 h 40 min,22777,22795,23312,176178.5,175298,167830.5,102551.5,103986.5,101666,107630,112842.5,106108.5,141210,155768.5,142202
