time,protein_concentration,circuit,condition,param_set_idx,log_likelihood
76,37314.34629331295,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
78,37775.948438256135,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
80,38237.55063497271,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
82,38699.153046651336,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
84,39160.755360815674,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
86,39622.35777631143,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
88,40083.96030682199,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
90,40545.56281158175,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
92,41007.1653292968,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
94,41468.76784465698,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
96,41930.37034752984,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
98,42391.972808043414,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
100,42853.57526938601,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
0,20979.730467995745,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
2,21026.54709016204,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
4,21214.459911481652,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
6,21507.61808690184,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
8,21866.852321239592,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
