time,Negative,Negative,Negative,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM
3 h 4 min,17739,18672,18953,35132,35351,35656,31712,32049,31109,33040,30618,30103,30058,29468,27343,25178,25445,24600,26864,28053,28685,25673,24463,28360,27845,29114,29829,27820,31345,31177,46500.5,49233,45781.5
3 h 6 min,17659,18556,18960,35924,35316,35844,31874,32226,31297,33298,30987,30315,30279,29974,27408,25676,25466,24588,26510,28103,28800,25958,24601,28378,27939,29536,29800,28479,31620,31576,47262.5,49697.5,46208
3 h 8 min,17860,18810,19026,36218,36046,36523,31859,32566,31922,33598,30920,30534,30487,30194,27764,25665,25616,24535,27288,28518,29401,26057,24886,28479,28199,29676,30323,28464,32110,31722,47847.5,50183.5,46637.5
3 h 10 min,18156,18605,18962,36360,35882,36532,32393,32547,31975,33485,31040,30475,30606,30024,27560,25648,25615,24602,27381,28371,28935,26392,24663,28942,28610,30091,30665,29139,32311,32219,48186,50655,47325.5
3 h 12 min,17876,18847,19187,36197,36468,37183,32749,33066,32097,33925,31746,30893,31050,30339,27654,26197,26142,24751,27479,28671,29929,26726,24904,29069,28616,30171,30916,29111,33118,32442,48757,51235,47706
3 h 14 min,17869,18754,19461,36972,36669,37106,32805,33465,32411,33948,31917,31290,31236,30237,28160,26223,25932,25127,27535,28478,29469,26962,25289,29193,29142,30238,31085,29250,33063,32450,49348,52061.5,48717.5
3 h 16 min,18113,18904,18989,37419,36928,37597,33150,33775,32787,34225,31993,31531,31600,30793,28226,26259,26398,24986,27591,29016,30218,27091,25102,29337,29228,30427,31259,29273,33071,33218,49786.5,52437,49034.5
3 h 18 min,18043,18746,19590,37801,37492,38274,33276,33975,32964,34452,32196,31534,31497,31073,28602,26802,26526,25493,27703,29246,29847,27361,25248,29800,29533,30671,31891,29768,33235,33275,50554,53293,49484
3 h 20 min,18015,18860,19217,37946,37744,38087,33686,34790,33227,34879,32361,32061,32059,31345,28892,26691,26846,25516,28305,29784,30145,27051,25219,29950,29687,31034,31895,29996,33649,33768,50921.5,53857.5,50207.5
3 h 22 min,18134,18891,19628,38310,38057,38604,33989,34755,33749,35106,32496,32012,32051,31394,28988,26703,26831,25639,28275,30072,30497,27616,25647,29928,30028,31299,32199,30351,33723,33847,51760,54373,50812.5
